,decade,index,rank,catchphrase,count
3642,1960,25,5 - Very High,scooby_doo_where_are_you,1.0
4245,1960,25,5 - Very High,rooby_rooby_roo,0.0
1833,1960,25,5 - Very High,just_about_wrapped_up,0.0
3040,1970,26,4 - High,zoinks,1.0
3643,1970,26,4 - High,scooby_doo_where_are_you,1.0
4246,1970,26,4 - High,rooby_rooby_roo,0.0
628,1970,26,4 - High,jinkies,0.0
25,1970,26,4 - High,jeepers,0.0
1834,1970,26,4 - High,just_about_wrapped_up,0.0
2437,1970,26,4 - High,groovy,0.0
1231,1970,26,4 - High,my_glasses,0.0
3644,1970,27,5 - Very High,scooby_doo_where_are_you,3.0
1232,1970,27,5 - Very High,my_glasses,1.0
3041,1970,27,5 - Very High,zoinks,3.0
629,1970,27,5 - Very High,jinkies,0.0
26,1970,27,5 - Very High,jeepers,0.0
4247,1970,27,5 - Very High,rooby_rooby_roo,3.0
1835,1970,27,5 - Very High,just_about_wrapped_up,0.0
2438,1970,27,5 - Very High,groovy,0.0
630,1970,28,5 - Very High,jinkies,0.0
4248,1970,28,5 - Very High,rooby_rooby_roo,0.0
1836,1970,28,5 - Very High,just_about_wrapped_up,0.0
2439,1970,28,5 - Very High,groovy,0.0
3042,1970,28,5 - Very High,zoinks,0.0
3645,1970,28,5 - Very High,scooby_doo_where_are_you,0.0
1233,1970,28,5 - Very High,my_glasses,0.0
27,1970,28,5 - Very High,jeepers,0.0
3043,1970,29,5 - Very High,zoinks,9.0
4249,1970,29,5 - Very High,rooby_rooby_roo,0.0
1234,1970,29,5 - Very High,my_glasses,0.0
28,1970,29,5 - Very High,jeepers,1.0
3646,1970,29,5 - Very High,scooby_doo_where_are_you,0.0
631,1970,29,5 - Very High,jinkies,1.0
1837,1970,29,5 - Very High,just_about_wrapped_up,0.0
2440,1970,29,5 - Very High,groovy,0.0
1235,1970,30,5 - Very High,my_glasses,0.0
632,1970,30,5 - Very High,jinkies,0.0
1838,1970,30,5 - Very High,just_about_wrapped_up,0.0
29,1970,30,5 - Very High,jeepers,0.0
2441,1970,30,5 - Very High,groovy,0.0
3647,1970,30,5 - Very High,scooby_doo_where_are_you,0.0
4250,1970,30,5 - Very High,rooby_rooby_roo,0.0
3044,1970,30,5 - Very High,zoinks,0.0
4251,1970,31,5 - Very High,rooby_rooby_roo,1.0
3045,1970,31,5 - Very High,zoinks,1.0
3648,1970,31,5 - Very High,scooby_doo_where_are_you,1.0
633,1970,31,5 - Very High,jinkies,1.0
1839,1970,31,5 - Very High,just_about_wrapped_up,0.0
2442,1970,31,5 - Very High,groovy,0.0
1236,1970,31,5 - Very High,my_glasses,0.0
30,1970,31,5 - Very High,jeepers,0.0
3046,1970,32,5 - Very High,zoinks,0.0
1237,1970,32,5 - Very High,my_glasses,0.0
4252,1970,32,5 - Very High,rooby_rooby_roo,0.0
31,1970,32,5 - Very High,jeepers,0.0
2443,1970,32,5 - Very High,groovy,0.0
1840,1970,32,5 - Very High,just_about_wrapped_up,0.0
634,1970,32,5 - Very High,jinkies,1.0
3649,1970,32,5 - Very High,scooby_doo_where_are_you,1.0
1238,1970,33,6 - Top Tier,my_glasses,0.0
2444,1970,33,6 - Top Tier,groovy,0.0
1841,1970,33,6 - Top Tier,just_about_wrapped_up,0.0
635,1970,33,6 - Top Tier,jinkies,0.0
4253,1970,33,6 - Top Tier,rooby_rooby_roo,0.0
3650,1970,33,6 - Top Tier,scooby_doo_where_are_you,1.0
3047,1970,33,6 - Top Tier,zoinks,1.0
32,1970,33,6 - Top Tier,jeepers,0.0
2445,1970,34,5 - Very High,groovy,0.0
1239,1970,34,5 - Very High,my_glasses,0.0
3651,1970,34,5 - Very High,scooby_doo_where_are_you,0.0
3048,1970,34,5 - Very High,zoinks,0.0
4254,1970,34,5 - Very High,rooby_rooby_roo,0.0
1842,1970,34,5 - Very High,just_about_wrapped_up,0.0
33,1970,34,5 - Very High,jeepers,0.0
636,1970,34,5 - Very High,jinkies,1.0
3652,1970,35,6 - Top Tier,scooby_doo_where_are_you,0.0
4255,1970,35,6 - Top Tier,rooby_rooby_roo,0.0
1843,1970,35,6 - Top Tier,just_about_wrapped_up,0.0
34,1970,35,6 - Top Tier,jeepers,0.0
2446,1970,35,6 - Top Tier,groovy,0.0
1240,1970,35,6 - Top Tier,my_glasses,0.0
637,1970,35,6 - Top Tier,jinkies,1.0
3049,1970,35,6 - Top Tier,zoinks,0.0
638,1970,36,5 - Very High,jinkies,0.0
3653,1970,36,5 - Very High,scooby_doo_where_are_you,0.0
35,1970,36,5 - Very High,jeepers,0.0
3050,1970,36,5 - Very High,zoinks,1.0
4256,1970,36,5 - Very High,rooby_rooby_roo,3.0
1844,1970,36,5 - Very High,just_about_wrapped_up,0.0
1241,1970,36,5 - Very High,my_glasses,0.0
2447,1970,36,5 - Very High,groovy,0.0
3051,1970,37,4 - High,zoinks,0.0
4257,1970,37,4 - High,rooby_rooby_roo,1.0
3654,1970,37,4 - High,scooby_doo_where_are_you,1.0
1845,1970,37,4 - High,just_about_wrapped_up,0.0
1242,1970,37,4 - High,my_glasses,0.0
36,1970,37,4 - High,jeepers,0.0
639,1970,37,4 - High,jinkies,1.0
2448,1970,37,4 - High,groovy,1.0
4258,1970,38,5 - Very High,rooby_rooby_roo,0.0
2449,1970,38,5 - Very High,groovy,0.0
37,1970,38,5 - Very High,jeepers,0.0
3655,1970,38,5 - Very High,scooby_doo_where_are_you,0.0
640,1970,38,5 - Very High,jinkies,1.0
1243,1970,38,5 - Very High,my_glasses,0.0
1846,1970,38,5 - Very High,just_about_wrapped_up,0.0
3052,1970,38,5 - Very High,zoinks,1.0
3053,1970,39,5 - Very High,zoinks,1.0
641,1970,39,5 - Very High,jinkies,0.0
2450,1970,39,5 - Very High,groovy,0.0
3656,1970,39,5 - Very High,scooby_doo_where_are_you,1.0
1244,1970,39,5 - Very High,my_glasses,0.0
4259,1970,39,5 - Very High,rooby_rooby_roo,0.0
1847,1970,39,5 - Very High,just_about_wrapped_up,0.0
38,1970,39,5 - Very High,jeepers,0.0
39,1970,40,4 - High,jeepers,1.0
1245,1970,40,4 - High,my_glasses,0.0
2451,1970,40,4 - High,groovy,0.0
642,1970,40,4 - High,jinkies,1.0
3657,1970,40,4 - High,scooby_doo_where_are_you,1.0
3054,1970,40,4 - High,zoinks,5.0
1848,1970,40,4 - High,just_about_wrapped_up,0.0
4260,1970,40,4 - High,rooby_rooby_roo,1.0
643,1970,41,5 - Very High,jinkies,0.0
3658,1970,41,5 - Very High,scooby_doo_where_are_you,0.0
1849,1970,41,5 - Very High,just_about_wrapped_up,0.0
40,1970,41,5 - Very High,jeepers,0.0
2452,1970,41,5 - Very High,groovy,0.0
4261,1970,41,5 - Very High,rooby_rooby_roo,0.0
1246,1970,41,5 - Very High,my_glasses,0.0
3055,1970,41,5 - Very High,zoinks,0.0
41,1970,42,4 - High,jeepers,0.0
644,1970,42,4 - High,jinkies,0.0
4262,1970,42,4 - High,rooby_rooby_roo,0.0
1247,1970,42,4 - High,my_glasses,0.0
3659,1970,42,4 - High,scooby_doo_where_are_you,0.0
3056,1970,42,4 - High,zoinks,0.0
2453,1970,42,4 - High,groovy,0.0
1850,1970,42,4 - High,just_about_wrapped_up,0.0
4263,1970,43,5 - Very High,rooby_rooby_roo,0.0
1851,1970,43,5 - Very High,just_about_wrapped_up,0.0
1248,1970,43,5 - Very High,my_glasses,0.0
3057,1970,43,5 - Very High,zoinks,0.0
3660,1970,43,5 - Very High,scooby_doo_where_are_you,0.0
42,1970,43,5 - Very High,jeepers,0.0
645,1970,43,5 - Very High,jinkies,1.0
2454,1970,43,5 - Very High,groovy,0.0
646,1970,44,5 - Very High,jinkies,1.0
3661,1970,44,5 - Very High,scooby_doo_where_are_you,0.0
43,1970,44,5 - Very High,jeepers,1.0
2455,1970,44,5 - Very High,groovy,0.0
4264,1970,44,5 - Very High,rooby_rooby_roo,2.0
1249,1970,44,5 - Very High,my_glasses,0.0
3058,1970,44,5 - Very High,zoinks,0.0
1852,1970,44,5 - Very High,just_about_wrapped_up,0.0
4265,1970,45,4 - High,rooby_rooby_roo,0.0
3059,1970,45,4 - High,zoinks,0.0
647,1970,45,4 - High,jinkies,0.0
3662,1970,45,4 - High,scooby_doo_where_are_you,0.0
2456,1970,45,4 - High,groovy,0.0
44,1970,45,4 - High,jeepers,0.0
1250,1970,45,4 - High,my_glasses,0.0
1853,1970,45,4 - High,just_about_wrapped_up,0.0
648,1970,46,5 - Very High,jinkies,2.0
3663,1970,46,5 - Very High,scooby_doo_where_are_you,0.0
3060,1970,46,5 - Very High,zoinks,0.0
45,1970,46,5 - Very High,jeepers,0.0
1251,1970,46,5 - Very High,my_glasses,0.0
4266,1970,46,5 - Very High,rooby_rooby_roo,0.0
2457,1970,46,5 - Very High,groovy,0.0
1854,1970,46,5 - Very High,just_about_wrapped_up,0.0
1855,1970,47,4 - High,just_about_wrapped_up,0.0
3664,1970,47,4 - High,scooby_doo_where_are_you,0.0
4267,1970,47,4 - High,rooby_rooby_roo,1.0
649,1970,47,4 - High,jinkies,0.0
2458,1970,47,4 - High,groovy,0.0
3061,1970,47,4 - High,zoinks,0.0
1252,1970,47,4 - High,my_glasses,0.0
46,1970,47,4 - High,jeepers,0.0
1253,1970,48,5 - Very High,my_glasses,0.0
2459,1970,48,5 - Very High,groovy,0.0
650,1970,48,5 - Very High,jinkies,2.0
4268,1970,48,5 - Very High,rooby_rooby_roo,0.0
3665,1970,48,5 - Very High,scooby_doo_where_are_you,0.0
1856,1970,48,5 - Very High,just_about_wrapped_up,0.0
3062,1970,48,5 - Very High,zoinks,0.0
47,1970,48,5 - Very High,jeepers,0.0
2460,1970,49,5 - Very High,groovy,0.0
651,1970,49,5 - Very High,jinkies,1.0
1857,1970,49,5 - Very High,just_about_wrapped_up,0.0
4269,1970,49,5 - Very High,rooby_rooby_roo,0.0
48,1970,49,5 - Very High,jeepers,0.0
3666,1970,49,5 - Very High,scooby_doo_where_are_you,0.0
3063,1970,49,5 - Very High,zoinks,0.0
1254,1970,49,5 - Very High,my_glasses,0.0
3667,1970,50,5 - Very High,scooby_doo_where_are_you,0.0
2461,1970,50,5 - Very High,groovy,0.0
4270,1970,50,5 - Very High,rooby_rooby_roo,0.0
49,1970,50,5 - Very High,jeepers,0.0
1858,1970,50,5 - Very High,just_about_wrapped_up,0.0
3064,1970,50,5 - Very High,zoinks,6.0
1255,1970,50,5 - Very High,my_glasses,0.0
652,1970,50,5 - Very High,jinkies,2.0
3065,1970,51,4 - High,zoinks,3.0
4271,1970,51,4 - High,rooby_rooby_roo,0.0
2462,1970,51,4 - High,groovy,0.0
50,1970,51,4 - High,jeepers,0.0
1859,1970,51,4 - High,just_about_wrapped_up,0.0
3668,1970,51,4 - High,scooby_doo_where_are_you,0.0
653,1970,51,4 - High,jinkies,0.0
1256,1970,51,4 - High,my_glasses,0.0
2463,1970,52,4 - High,groovy,0.0
3669,1970,52,4 - High,scooby_doo_where_are_you,0.0
1860,1970,52,4 - High,just_about_wrapped_up,0.0
4272,1970,52,4 - High,rooby_rooby_roo,1.0
3066,1970,52,4 - High,zoinks,8.0
654,1970,52,4 - High,jinkies,0.0
51,1970,52,4 - High,jeepers,0.0
1257,1970,52,4 - High,my_glasses,0.0
3067,1970,53,4 - High,zoinks,1.0
2464,1970,53,4 - High,groovy,0.0
1258,1970,53,4 - High,my_glasses,0.0
4273,1970,53,4 - High,rooby_rooby_roo,0.0
3670,1970,53,4 - High,scooby_doo_where_are_you,0.0
52,1970,53,4 - High,jeepers,0.0
655,1970,53,4 - High,jinkies,2.0
1861,1970,53,4 - High,just_about_wrapped_up,0.0
2465,1970,54,5 - Very High,groovy,0.0
1862,1970,54,5 - Very High,just_about_wrapped_up,0.0
1259,1970,54,5 - Very High,my_glasses,0.0
53,1970,54,5 - Very High,jeepers,1.0
4274,1970,54,5 - Very High,rooby_rooby_roo,0.0
3068,1970,54,5 - Very High,zoinks,1.0
656,1970,54,5 - Very High,jinkies,1.0
3671,1970,54,5 - Very High,scooby_doo_where_are_you,0.0
657,1970,55,5 - Very High,jinkies,0.0
3069,1970,55,5 - Very High,zoinks,5.0
4275,1970,55,5 - Very High,rooby_rooby_roo,4.0
1260,1970,55,5 - Very High,my_glasses,0.0
54,1970,55,5 - Very High,jeepers,0.0
1863,1970,55,5 - Very High,just_about_wrapped_up,0.0
3672,1970,55,5 - Very High,scooby_doo_where_are_you,0.0
2466,1970,55,5 - Very High,groovy,0.0
55,1970,56,5 - Very High,jeepers,0.0
658,1970,56,5 - Very High,jinkies,0.0
3070,1970,56,5 - Very High,zoinks,10.0
4276,1970,56,5 - Very High,rooby_rooby_roo,0.0
2467,1970,56,5 - Very High,groovy,0.0
3673,1970,56,5 - Very High,scooby_doo_where_are_you,0.0
1864,1970,56,5 - Very High,just_about_wrapped_up,0.0
1261,1970,56,5 - Very High,my_glasses,0.0
2468,1970,57,5 - Very High,groovy,0.0
3071,1970,57,5 - Very High,zoinks,3.0
3674,1970,57,5 - Very High,scooby_doo_where_are_you,0.0
4277,1970,57,5 - Very High,rooby_rooby_roo,1.0
1262,1970,57,5 - Very High,my_glasses,0.0
56,1970,57,5 - Very High,jeepers,0.0
1865,1970,57,5 - Very High,just_about_wrapped_up,0.0
659,1970,57,5 - Very High,jinkies,0.0
2469,1970,58,5 - Very High,groovy,0.0
57,1970,58,5 - Very High,jeepers,4.0
4278,1970,58,5 - Very High,rooby_rooby_roo,1.0
3072,1970,58,5 - Very High,zoinks,13.0
1866,1970,58,5 - Very High,just_about_wrapped_up,0.0
1263,1970,58,5 - Very High,my_glasses,0.0
3675,1970,58,5 - Very High,scooby_doo_where_are_you,0.0
660,1970,58,5 - Very High,jinkies,0.0
3676,1970,59,5 - Very High,scooby_doo_where_are_you,0.0
1867,1970,59,5 - Very High,just_about_wrapped_up,0.0
58,1970,59,5 - Very High,jeepers,0.0
1264,1970,59,5 - Very High,my_glasses,0.0
661,1970,59,5 - Very High,jinkies,0.0
3073,1970,59,5 - Very High,zoinks,8.0
4279,1970,59,5 - Very High,rooby_rooby_roo,0.0
2470,1970,59,5 - Very High,groovy,0.0
662,1970,60,4 - High,jinkies,1.0
2471,1970,60,4 - High,groovy,0.0
1265,1970,60,4 - High,my_glasses,0.0
4280,1970,60,4 - High,rooby_rooby_roo,0.0
59,1970,60,4 - High,jeepers,2.0
3074,1970,60,4 - High,zoinks,9.0
3677,1970,60,4 - High,scooby_doo_where_are_you,0.0
1868,1970,60,4 - High,just_about_wrapped_up,0.0
1266,1970,61,4 - High,my_glasses,0.0
1869,1970,61,4 - High,just_about_wrapped_up,1.0
60,1970,61,4 - High,jeepers,5.0
2472,1970,61,4 - High,groovy,0.0
663,1970,61,4 - High,jinkies,1.0
3678,1970,61,4 - High,scooby_doo_where_are_you,0.0
3075,1970,61,4 - High,zoinks,12.0
4281,1970,61,4 - High,rooby_rooby_roo,1.0
3679,1970,62,3 - Moderate,scooby_doo_where_are_you,0.0
664,1970,62,3 - Moderate,jinkies,2.0
