,index,rank,catchphrase,count
217,28,5 - Very High,Rooby rooby roo!,0.0
218,28,5 - Very High,Just about wrapped up,0.0
219,28,5 - Very High,Groovy,0.0
220,28,5 - Very High,Zoinks!,0.0
221,28,5 - Very High,Scooby Doo! Where are you?,0.0
222,28,5 - Very High,My glasses!,0.0
223,28,5 - Very High,Jeepers!,0.0
224,29,5 - Very High,Zoinks!,9.0
225,29,5 - Very High,Rooby rooby roo!,0.0
226,29,5 - Very High,My glasses!,0.0
227,29,5 - Very High,Jeepers!,1.0
228,29,5 - Very High,Scooby Doo! Where are you?,0.0
229,29,5 - Very High,Jinkies!,1.0
230,29,5 - Very High,Just about wrapped up,0.0
231,29,5 - Very High,Groovy,0.0
232,30,5 - Very High,My glasses!,0.0
233,30,5 - Very High,Jinkies!,0.0
234,30,5 - Very High,Just about wrapped up,0.0
235,30,5 - Very High,Jeepers!,0.0
236,30,5 - Very High,Groovy,0.0
237,30,5 - Very High,Scooby Doo! Where are you?,0.0
238,30,5 - Very High,Rooby rooby roo!,0.0
239,30,5 - Very High,Zoinks!,0.0
240,31,5 - Very High,Rooby rooby roo!,1.0
241,31,5 - Very High,Zoinks!,1.0
242,31,5 - Very High,Scooby Doo! Where are you?,1.0
243,31,5 - Very High,Jinkies!,1.0
244,31,5 - Very High,Just about wrapped up,0.0
245,31,5 - Very High,Groovy,0.0
246,31,5 - Very High,My glasses!,0.0
247,31,5 - Very High,Jeepers!,0.0
248,32,5 - Very High,Zoinks!,0.0
249,32,5 - Very High,My glasses!,0.0
250,32,5 - Very High,Rooby rooby roo!,0.0
251,32,5 - Very High,Jeepers!,0.0
252,32,5 - Very High,Groovy,0.0
253,32,5 - Very High,Just about wrapped up,0.0
254,32,5 - Very High,Jinkies!,1.0
255,32,5 - Very High,Scooby Doo! Where are you?,1.0
256,33,6 - Top Tier,My glasses!,0.0
257,33,6 - Top Tier,Groovy,0.0
258,33,6 - Top Tier,Just about wrapped up,0.0
259,33,6 - Top Tier,Jinkies!,0.0
260,33,6 - Top Tier,Rooby rooby roo!,0.0
261,33,6 - Top Tier,Scooby Doo! Where are you?,1.0
262,33,6 - Top Tier,Zoinks!,1.0
263,33,6 - Top Tier,Jeepers!,0.0
264,34,5 - Very High,Groovy,0.0
265,34,5 - Very High,My glasses!,0.0
266,34,5 - Very High,Scooby Doo! Where are you?,0.0
267,34,5 - Very High,Zoinks!,0.0
268,34,5 - Very High,Rooby rooby roo!,0.0
269,34,5 - Very High,Just about wrapped up,0.0
270,34,5 - Very High,Jeepers!,0.0
271,34,5 - Very High,Jinkies!,1.0
272,35,6 - Top Tier,Scooby Doo! Where are you?,0.0
273,35,6 - Top Tier,Rooby rooby roo!,0.0
274,35,6 - Top Tier,Just about wrapped up,0.0
275,35,6 - Top Tier,Jeepers!,0.0
276,35,6 - Top Tier,Groovy,0.0
277,35,6 - Top Tier,My glasses!,0.0
278,35,6 - Top Tier,Jinkies!,1.0
